,date,open,high,low,close,volume,avg,crossover,trade_value
424,2024-10-22 10:04:00+05:30,52209.35,52216.8,52198.4,52200.85,0,52207,0,-6
425,2024-10-22 10:05:00+05:30,52202.85,52202.85,52176.9,52176.9,0,52189,0,-12
426,2024-10-22 10:06:00+05:30,52175.05,52185.15,52157.8,52164.25,0,52171,0,-6
427,2024-10-22 10:07:00+05:30,52166.8,52166.8,52142.9,52156.75,0,52154,1,2
428,2024-10-22 10:08:00+05:30,52155.0,52187.8,52152.55,52185.6,0,52170,1,15
429,2024-10-22 10:09:00+05:30,52185.85,52189.3,52163.95,52176.7,0,52176,1,0
430,2024-10-22 10:10:00+05:30,52179.4,52193.35,52169.35,52186.05,0,52181,1,5
431,2024-10-22 10:11:00+05:30,52188.8,52188.8,52130.25,52130.25,0,52159,0,-28
432,2024-10-22 10:12:00+05:30,52130.5,52130.5,52081.4,52107.75,0,52105,1,2
433,2024-10-22 10:13:00+05:30,52109.45,52114.8,52053.8,52064.1,0,52084,0,-19
434,2024-10-22 10:14:00+05:30,52065.3,52074.45,52048.0,52070.7,0,52061,1,9
435,2024-10-22 10:15:00+05:30,52069.8,52083.9,52058.0,52071.85,0,52070,1,1
436,2024-10-22 10:16:00+05:30,52071.85,52071.85,51998.1,52012.5,0,52034,0,-21
437,2024-10-22 10:17:00+05:30,52011.6,52011.6,51954.5,51956.15,0,51983,0,-26
438,2024-10-22 10:18:00+05:30,51961.0,51977.4,51946.7,51977.4,0,51962,1,15
439,2024-10-22 10:19:00+05:30,51981.6,51982.0,51913.65,51932.75,0,51947,0,-14
440,2024-10-22 10:20:00+05:30,51935.85,51964.75,51934.35,51944.1,0,51949,0,-4
441,2024-10-22 10:21:00+05:30,51948.95,51950.65,51899.05,51934.3,0,51924,1,10
442,2024-10-22 10:22:00+05:30,51936.75,51978.85,51920.9,51976.1,0,51949,1,27
443,2024-10-22 10:23:00+05:30,51977.0,51977.8,51948.55,51951.45,0,51963,0,-11
444,2024-10-22 10:24:00+05:30,51945.65,51961.65,51936.6,51943.0,0,51949,0,-6
445,2024-10-22 10:25:00+05:30,51943.4,51962.85,51925.05,51950.0,0,51943,1,7
446,2024-10-22 10:26:00+05:30,51944.95,51947.6,51894.85,51906.0,0,51921,0,-15
447,2024-10-22 10:27:00+05:30,51902.85,51924.35,51860.45,51866.25,0,51892,0,-25
448,2024-10-22 10:28:00+05:30,51863.85,51875.8,51800.35,51806.6,0,51838,0,-31
449,2024-10-22 10:29:00+05:30,51806.7,51810.3,51758.6,51759.75,0,51784,0,-24
450,2024-10-22 10:30:00+05:30,51757.85,51820.9,51727.2,51805.3,0,51774,1,31
451,2024-10-22 10:31:00+05:30,51807.45,51812.7,51768.9,51780.0,0,51790,0,-10
452,2024-10-22 10:32:00+05:30,51780.8,51799.7,51746.75,51746.75,0,51773,0,-26
453,2024-10-22 10:33:00+05:30,51755.05,51777.45,51721.75,51760.45,0,51749,1,11
454,2024-10-22 10:34:00+05:30,51759.95,51891.5,51755.4,51891.5,0,51823,1,68
455,2024-10-22 10:35:00+05:30,51896.95,51969.15,51872.8,51897.7,0,51920,0,-22
456,2024-10-22 10:36:00+05:30,51899.0,51928.55,51877.7,51904.45,0,51903,1,1
457,2024-10-22 10:37:00+05:30,51906.55,51911.05,51841.05,51841.3,0,51876,0,-34
458,2024-10-22 10:38:00+05:30,51842.8,51909.5,51837.75,51909.5,0,51873,1,36
459,2024-10-22 10:39:00+05:30,51912.8,51945.15,51882.2,51910.9,0,51913,0,-2
460,2024-10-22 10:40:00+05:30,51911.65,51951.05,51910.75,51930.0,0,51930,0,0
461,2024-10-22 10:41:00+05:30,51926.45,51968.3,51886.8,51954.55,0,51927,1,27
462,2024-10-22 10:42:00+05:30,51956.5,51999.9,51950.55,51973.8,0,51975,0,-1
463,2024-10-22 10:43:00+05:30,51974.05,51974.5,51902.65,51954.85,0,51938,1,16
464,2024-10-22 10:44:00+05:30,51949.25,51976.3,51926.9,51930.85,0,51951,0,-20
465,2024-10-22 10:45:00+05:30,51934.4,51957.4,51910.4,51917.85,0,51933,0,-15
466,2024-10-22 10:46:00+05:30,51918.25,51949.2,51889.45,51890.7,0,51919,0,-28
467,2024-10-22 10:47:00+05:30,51893.95,51962.35,51893.95,51919.9,0,51928,0,-8
468,2024-10-22 10:48:00+05:30,51919.7,51964.35,51914.3,51936.15,0,51939,0,-2
469,2024-10-22 10:49:00+05:30,51936.15,51957.9,51925.4,51932.75,0,51941,0,-8
470,2024-10-22 10:50:00+05:30,51933.85,51960.5,51926.0,51960.5,0,51943,1,17
471,2024-10-22 10:51:00+05:30,51956.9,51979.45,51942.7,51965.75,0,51961,1,4
472,2024-10-22 10:52:00+05:30,51962.4,52001.25,51950.4,51962.9,0,51975,0,-12
473,2024-10-22 10:53:00+05:30,51960.45,51989.9,51958.0,51967.35,0,51973,0,-5
474,2024-10-22 10:54:00+05:30,51967.9,51968.25,51902.6,51910.35,0,51935,0,-24
475,2024-10-22 10:55:00+05:30,51909.05,51914.45,51870.45,51879.05,0,51892,0,-12
476,2024-10-22 10:56:00+05:30,51879.3,51921.8,51857.9,51921.8,0,51889,1,32
477,2024-10-22 10:57:00+05:30,51916.6,51953.1,51910.75,51917.0,0,51931,0,-14
478,2024-10-22 10:58:00+05:30,51917.0,51960.25,51917.0,51945.8,0,51938,1,7
479,2024-10-22 10:59:00+05:30,51943.75,51959.8,51927.1,51939.65,0,51943,0,-3
480,2024-10-22 11:00:00+05:30,51938.35,51959.9,51934.1,51956.85,0,51947,1,9
481,2024-10-22 11:01:00+05:30,51959.35,51968.1,51928.2,51929.45,0,51948,0,-18
482,2024-10-22 11:02:00+05:30,51928.45,51951.7,51920.7,51922.75,0,51936,0,-13
483,2024-10-22 11:03:00+05:30,51925.9,51931.65,51904.35,51908.8,0,51918,0,-9
484,2024-10-22 11:04:00+05:30,51907.35,51913.1,51898.15,51908.75,0,51905,1,3
485,2024-10-22 11:05:00+05:30,51913.05,51921.5,51891.75,51898.95,0,51906,0,-7
486,2024-10-22 11:06:00+05:30,51901.35,51901.7,51825.2,51839.6,0,51863,0,-23
487,2024-10-22 11:07:00+05:30,51840.75,51872.65,51828.1,51870.9,0,51850,1,20
488,2024-10-22 11:08:00+05:30,51870.05,51917.7,51859.6,51874.8,0,51888,0,-13
489,2024-10-22 11:09:00+05:30,51874.45,51925.1,51862.15,51917.7,0,51893,1,24
490,2024-10-22 11:10:00+05:30,51923.65,51969.5,51923.65,51939.85,0,51946,0,-6
491,2024-10-22 11:11:00+05:30,51935.8,51938.55,51896.45,51904.05,0,51917,0,-12
492,2024-10-22 11:12:00+05:30,51903.6,51948.9,51900.05,51932.8,0,51924,1,8
493,2024-10-22 11:13:00+05:30,51929.0,51948.2,51923.5,51939.5,0,51935,1,4
494,2024-10-22 11:14:00+05:30,51940.15,51950.15,51911.4,51941.8,0,51930,1,11
495,2024-10-22 11:15:00+05:30,51940.9,51955.8,51917.85,51925.45,0,51936,0,-10
496,2024-10-22 11:16:00+05:30,51926.45,51935.65,51910.8,51916.9,0,51923,0,-6
497,2024-10-22 11:17:00+05:30,51915.65,51938.15,51913.2,51935.9,0,51925,1,10
498,2024-10-22 11:18:00+05:30,51931.5,51931.5,51893.8,51893.8,0,51912,0,-18
499,2024-10-22 11:19:00+05:30,51895.1,51915.6,51889.6,51902.1,0,51902,1,0
500,2024-10-22 11:20:00+05:30,51900.65,51909.6,51873.3,51873.3,0,51891,0,-17
501,2024-10-22 11:21:00+05:30,51873.9,51873.9,51846.2,51863.0,0,51860,1,3
502,2024-10-22 11:22:00+05:30,51863.5,51864.75,51818.2,51834.45,0,51841,0,-6
503,2024-10-22 11:23:00+05:30,51832.9,51833.25,51781.0,51783.05,0,51807,0,-23
504,2024-10-22 11:24:00+05:30,51785.05,51815.7,51764.5,51806.05,0,51790,1,16
505,2024-10-22 11:25:00+05:30,51806.9,51827.6,51800.35,51822.25,0,51813,1,9
506,2024-10-22 11:26:00+05:30,51819.2,51824.25,51776.95,51776.95,0,51800,0,-23
507,2024-10-22 11:27:00+05:30,51781.55,51789.15,51754.6,51770.05,0,51771,0,0
508,2024-10-22 11:28:00+05:30,51772.4,51797.3,51757.3,51797.3,0,51777,1,20
509,2024-10-22 11:29:00+05:30,51795.0,51807.65,51774.85,51804.8,0,51791,1,13
510,2024-10-22 11:30:00+05:30,51801.9,51829.6,51796.7,51823.4,0,51813,1,10
511,2024-10-22 11:31:00+05:30,51824.1,51824.1,51786.25,51806.6,0,51805,1,1
512,2024-10-22 11:32:00+05:30,51806.8,51866.2,51806.8,51854.5,0,51836,1,18
513,2024-10-22 11:33:00+05:30,51862.35,51911.9,51857.85,51904.75,0,51884,1,20
514,2024-10-22 11:34:00+05:30,51903.3,51907.8,51869.3,51870.85,0,51888,0,-17
515,2024-10-22 11:35:00+05:30,51873.8,51873.8,51837.85,51845.15,0,51855,0,-9
516,2024-10-22 11:36:00+05:30,51841.9,51850.7,51826.9,51831.6,0,51838,0,-6
517,2024-10-22 11:37:00+05:30,51828.2,51828.2,51781.65,51783.45,0,51804,0,-20
518,2024-10-22 11:38:00+05:30,51782.6,51789.75,51763.1,51769.05,0,51776,0,-6
519,2024-10-22 11:39:00+05:30,51764.25,51775.8,51747.25,51771.05,0,51761,1,10
520,2024-10-22 11:40:00+05:30,51770.7,51770.7,51681.9,51690.9,0,51726,0,-35
521,2024-10-22 11:41:00+05:30,51685.75,51716.9,51666.7,51692.8,0,51691,1,1
522,2024-10-22 11:42:00+05:30,51693.65,51705.5,51628.65,51647.85,0,51667,0,-19
523,2024-10-22 11:43:00+05:30,51645.7,51676.6,51623.6,51669.7,0,51650,1,19
524,2024-10-22 11:44:00+05:30,51666.7,51666.7,51603.75,51615.45,0,51635,0,-19
525,2024-10-22 11:45:00+05:30,51621.5,51648.9,51539.8,51637.2,0,51594,1,43
526,2024-10-22 11:46:00+05:30,51641.15,51683.85,51636.25,51650.4,0,51660,0,-9
527,2024-10-22 11:47:00+05:30,51654.45,51662.4,51607.5,51637.15,0,51634,1,3
